Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Marshall Islands, Republic of",867,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,4.721086448,2.988625644,0.506567072,1.695105727,2.236746335,1.78732137,1.769579211,1.637226153,1.626662333
"Micronesia, Federated States of",868,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,0.11139329,-4.010485245,0.081306301,0.265179773,0.970953679,0.967717084,0.94853433,0.935657372,1.092610859
Palau,565,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.518530126,-0.234364451,7.951975484,2.2,2.7,2.5,2.2,2.2,2
Papua New Guinea,853,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,8.091015391,5.530325727,5.836685279,19.3293395,3.263910638,3.501523168,3.466203476,3.491290053,3.538118582
Samoa,862,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,1.172629717,-1.078820742,1.901214332,2.803393112,1.383455477,-0.986286407,0.839849867,1.487488537,2
Solomon Islands,813,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,4.650027546,3.02045767,1.49234987,3.345302428,3.032882904,3.496789761,3.38317598,3.481438207,3.403261137
"Timor-Leste, Dem. Rep. of",537,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,7.843137255,5.405547997,6.559916672,6.829342724,6.881571964,6.998470403,7.220623635,7.372783111,6.980765276
Tonga,866,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,-1.068688592,-0.298473033,2.314752199,2.671826257,2.412941113,1.966348059,2.462971827,2.673050367,0.670405603
Tuvalu,869,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,0.182645285,1.292326462,2.236106813,2.462225888,2.483255391,1.912461572,1.975560089,1.866056298,1.662086896
Vanuatu,846,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,1.756509111,1.96914608,2.899965024,-4,5,4.5,3.5,2.5,2.5
Mongolia,948,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,12.31981973,11.64458043,7.823899142,4.445487361,4.235261291,3.842989443,6.151486793,6.370860163,9.245581991
Asia,229,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,5.776322432,5.35882251,5.17792844,5.661672418,5.375674159,5.419986814,5.533876255,5.648296188,5.749438336
Australia,193,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,4.077681969,0.029918202,1.183978242,1.23979287,2.33597981,2.569034322,2.658474656,2.963567196,2.989372943
Japan,158,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,2.602750785,1.867112526,0.067730554,0.132500458,0.744706883,-0.020186258,0.513447918,0.515783526,0.516301823
New Zealand,196,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,3.239610173,4.012355673,4.75620862,3.489177853,3.180316182,2.817251761,2.612831391,2.602428607,2.56060124
"China, P.R.: Mainland",924,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,8.222871306,8.421498941,7.620566828,6.641073612,6.175632769,6,6.138305819,6.378597849,6.51401707
"China, P.R.: Hong Kong",532,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,3.903337191,3.933659314,2.761109144,3.680987425,3.942390644,4.048626412,4.088920464,4.071704923,4.093801717
"Korea, Republic of",542,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,1.248797183,0.694094172,2.042996065,4.017272601,3.360061512,4.089381134,4.107050553,4.115421347,4.123928962
Taiwan Province of China,528,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,0.632341274,2.013361619,3.376029593,3.118851075,3.248304767,3.200395567,3.211334889,3.222076097,3.232620953
South Asia,9502,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,3.396772115,3.474034954,5.922819468,7.811243035,7.030198086,7.295251745,7.077999414,7.041671588,7.133336297
India,534,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,2.978570216,3.391564801,5.938027677,8.220518602,7.117391481,7.497736622,7.221334128,7.268027464,7.398179228
Sri Lanka,524,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,9.051382676,2.429874451,8.046779651,2.836330469,5.392691741,4.869968168,4.882607336,4.789110902,4.579919317
Nepal,558,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,4.2324357,6.639154787,8.029962785,4.010978654,5.764668629,5.671669479,5.415437226,5.26322117,5.331588487
ASEAN,511,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,7.636306,5.231552239,3.289455255,5.294955156,5.310198545,5.76010228,5.930662495,5.744477957,5.698089765
Brunei Darussalam,516,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,3.521187045,2.808787453,5.316696109,1.267087881,2.159396394,2.804073226,4.19013174,2.443299012,2.616113682
Cambodia,522,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,6.606523475,8.15862755,7.119133089,5.143252784,6.43926116,6.476752928,6.674966396,6.773862417,5.941015581
Indonesia,536,"National Accounts, Total Domestic Demand, Real, Constant Prices, Percent Change",NTDD_R_PC_PP_PT,Value,7.288959316,5.069665063,4.67274636,4.803692107,5.577465038,5.872027718,6.127201211,6.138432866,6.158006504
